id;categoria;analise_humana;prompt;model
RNP2022-125941;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-126521;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-127135;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2022-138345;CAT5;CAT5;htp;deepseek-r1:1.5b
RNP2022-140134;CAT6;CAT5;htp;deepseek-r1:1.5b
RNP2022-140240;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-144752;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2022-145040;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2023-003785;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2023-017112;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2023-021009;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2023-024598;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2023-026754;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2023-027278;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-027279;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-032613;CAT1;CAT3;htp;deepseek-r1:1.5b
RNP2023-032614;CAT2;CAT12;htp;deepseek-r1:1.5b
RNP2023-033577;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2023-035005;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2023-038886;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-039374;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2023-040569;CAT4;CAT5;htp;deepseek-r1:1.5b
RNP2023-040698;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-040699;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2023-040700;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-044557;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-045985;CAT4;CAT1;htp;deepseek-r1:1.5b
RNP2023-046541;CAT1;CAT1;htp;deepseek-r1:1.5b
RNP2023-049266;CAT2;CAT2;htp;deepseek-r1:1.5b
RNP2023-056442;CAT5;CAT5;htp;deepseek-r1:1.5b
RNP2023-056851;CAT4;CAT2;htp;deepseek-r1:1.5b
RNP2023-062847;CAT1;CAT3;htp;deepseek-r1:1.5b
RNP2023-072050;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-075081;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-075082;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2023-075083;CAT4;CAT5;htp;deepseek-r1:1.5b
RNP2023-119920;CAT4;CAT5;htp;deepseek-r1:1.5b
RNP2023-119923;CAT4;CAT5;htp;deepseek-r1:1.5b
RNP2023-119924;CAT5;CAT5;htp;deepseek-r1:1.5b
RNP2023-128523;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2024-000940;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-001493;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-006382;CAT1;SEM CATEGORIA DEFINIDA;htp;deepseek-r1:1.5b
RNP2024-006474;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2024-021200;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-023621;CAT4;CAT5;htp;deepseek-r1:1.5b
RNP2024-029116;CAT5;CAT5;htp;deepseek-r1:1.5b
RNP2024-029117;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-029119;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2024-029122;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2024-031572;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-038029;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-043142;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-049905;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2024-054399;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-071998;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2021-029717;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2021-056045;CAT2;CAT9;htp;deepseek-r1:1.5b
RNP2021-056047;CAT6;CAT9;htp;deepseek-r1:1.5b
RNP2021-089940;CAT4;CAT5;htp;deepseek-r1:1.5b
RNP2022-023007;CAT3;CAT3;htp;deepseek-r1:1.5b
RNP2022-023918;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-026800;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-026801;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-026802;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-026803;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-026817;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-026818;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-026825;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-031358;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2022-031359;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2022-032381;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2022-037776;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2022-037777;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2022-041416;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-042044;CAT4;CAT12;htp;deepseek-r1:1.5b
RNP2022-042745;CAT3;CAT12;htp;deepseek-r1:1.5b
RNP2022-042747;CAT4;CAT12;htp;deepseek-r1:1.5b
RNP2022-083997;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2022-085230;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2022-100003;CAT4;CAT5;htp;deepseek-r1:1.5b
RNP2022-103272;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-107371;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2022-107571;CAT4;CAT3;htp;deepseek-r1:1.5b
RNP2022-108489;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2022-120804;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2022-123618;CAT7;CAT12;htp;deepseek-r1:1.5b
RNP2022-104330;CAT2;CAT9;htp;deepseek-r1:1.5b
RNP2021-014254;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2021-014262;CAT1;CAT7;htp;deepseek-r1:1.5b
RNP2021-014273;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2021-014295;CAT1;CAT7;htp;deepseek-r1:1.5b
RNP2021-014310;CAT2;CAT12;htp;deepseek-r1:1.5b
RNP2021-014311;CAT2;CAT9;htp;deepseek-r1:1.5b
RNP2021-039405;CAT7;CAT5;htp;deepseek-r1:1.5b
RNP2024-089733;CAT2;CAT10;htp;deepseek-r1:1.5b
RNP2021-036715;CAT5;SEM CATEGORIA DEFINIDA;htp;deepseek-r1:1.5b
RNP2021-056046;CAT1;CAT9;htp;deepseek-r1:1.5b
RNP2021-056583;CAT3;CAT9;htp;deepseek-r1:1.5b
